ID;NOM;TYPE;ADRESSE;LAT;LON
1;Pharmacie du Galicien S?»???¢rl;Priv?»???¢;Route de Renens 24. 1008 Prilly;46.529594799999900;6.600821500000000
2;Pharmacie du Gros de Vaud;Priv?»???¢;Rue du Village 3. 1038 Bercher;46.692114599999900;6.709332600000000
3;Pharmacie du Jorat;Priv?»???¢;Route de Servion 6. 1083 M?»???¢zi?»???¢res VD;46.591997999999900;6.770594900000000
4;Pharmacie du Lac;Priv?»???¢;Rue du Lac 13. 1400 Yverdon-les-Bains;46.779187399999900;6.639814900000000
5;Pharmacie du March?»???¢;Priv?»???¢;Grande Place 2. 1800 Vevey;46.459800700000000;6.843116300000000
6;Pharmacie du Mont;Priv?»???¢;Route du Grand-Mont 16. 1052 Mont-sur-Lausanne;46.562213600000000;6.631991000000000
7;Pharmacie du Montreux-Palace;Priv?»???¢;Avenue Claude Nobs 2 100. 1820 Montreux;46.438611899999900;6.906799400000000
8;Pharmacie du Pont des Sauges;Priv?»???¢;Avenue du Grey 58. 1018 Lausanne;46.536171000000000;6.620355400000000
9;Pharmacie du Rocher;Priv?»???¢;Place du Tunnel 22. 1005 Lausanne;46.525639400000000;6.633997100000000
10;Pharmacie du Sapin;Priv?»???¢;Grand-Rue 6. 1337 Vallorbe;46.712147999999900;6.378604300000000
11;Pharmacie Gambetta;Priv?»???¢;Rue des Vergers 11. 1815 Clarens;46.440678699999900;6.895238500000000
12;Pharmacie Grognuz;Priv?»???¢;Rue de l'Ancienne Poste 3. 1040 Echallens;46.640943499999900;6.635562100000000
13;Pharmacie Hadid;Priv?»???¢;Avenue de Chailly 44. 1012 Lausanne;46.523185499999900;6.654653500000000
14;Pharmacie Haroun;Priv?»???¢;Grand Rue 53. 1660 Ch?»???¢teau-d'Oex;46.473459699999900;7.129099600000000
15;Pharmacie Internationale Tawadros SA;Priv?»???¢;Avenue de Chillon 74. 1820 Territet;46.424946900000000;6.924448100000000
16;Pharmacie Kupper;Priv?»???¢;Rue du Maupas 22. 1004 Lausanne;46.525165800000000;6.625643500000000
17;Pharmacie 24 SA;Priv?»???¢;Avenue de Montchoisi 3. 1006 Lausanne;46.514272699999900;6.633365200000000
18;Pharmacie Alpha;Priv?»???¢;Grand'Rue 33. 1530 Payerne;46.821093099999900;6.937060700000000
19;Pharmacie Amavita  Coll?»???¢ge;AMAVITA;Rue du Lac 42. 1400 Yverdon-les-Bains;46.780186200000000;6.638632300000000
20;Pharmacie Amavita  Conod;AMAVITA;Rue Adrien-Pichard 16. 1003 Lausanne;46.521099300000000;6.631230800000000
21;Pharmacie Amavita Ancien Stand;AMAVITA;Route des Plaines-du-Loup 10. 1018 Lausanne;46.533232200000000;6.627385500000000
22;Pharmacie Amavita Centrale Morges;AMAVITA;Grand-Rue 69. 1110 Morges;46.508898000000000;6.498393100000000
23;Pharmacie Amavita Ch?»???¢teau-d'Oex;AMAVITA;Grand Rue 67. 1660 Ch?»???¢teau-d'Oex;46.473987500000000;7.130629000000000
24;Pharmacie Amavita Copet;AMAVITA;Avenue de Corsier 1. 1800 Vevey;46.466522400000000;6.844803700000000
25;Pharmacie Amavita Croisettes;AMAVITA;Chemin des Croisettes 9b. 1066 Epalinges;46.544202499999900;6.660615400000000
26;Pharmacie Amavita de la Croix-Blanche;AMAVITA;Place de la Croix-Blanche 5. 1066 Epalinges;46.548042000000000;6.670739800000000
27;Pharmacie Amavita du Croset;AMAVITA;Chemin du Croset 1. 1024 Ecublens VD;46.534258999999900;6.567070600000000
28;Pharmacie Amavita Gare Nyon;AMAVITA;Place de la Gare 7. 1260 Nyon;46.384124100000000;6.236409000000000
29;Pharmacie Amavita Gare Renens;AMAVITA;Place de la Gare 4. 1020 Renens VD;46.536577600000000;6.578720400000000
30;Pharmacie Amavita Gland;AMAVITA;Rue du Borgeaud 1c. 1196 Gland;46.423276299999900;6.261143100000000
31;BENU Pharmacie Bel-Air;BENU;Place Bel-Air 2. 1400 Yverdon-les-Bains;46.780323500000000;6.637248800000000
32;BENU Pharmacie Bellevaux;BENU;Route Aloys-Fauquez 28. 1018 Lausanne;46.532068099999900;6.632265800000000
33;BENU Pharmacie Bi?»???¢re;BENU;Rue du Flon 1 . 1145 Bi?»???¢re;46.537919400000000;6.332658200000000
34;BENU Pharmacie Biop?»???¢le;BENU;Route de la Corniche 2. 1066 Epalinges;46.542901000000000;6.661226000000000
35;BENU Pharmacie Bloch;BENU;Rue du Lac 40. 1400 Yverdon-les-Bains;46.780101000000000;6.638792200000000
36;BENU Pharmacie Centrale Bex;BENU;Rue Centrale 43. 1880 Bex;46.250587799999900;7.016081100000000
37;BENU Pharmacie Closelet;BENU;Chemin du Closelet 1. 1006 Lausanne;46.514656000000000;6.632877300000000
38;BENU Pharmacie Cugy;BENU;Route de Bottens 1a. 1053 Cugy VD;46.585615900000000;6.640377800000000
39;BENU Pharmacie du Vieux-Coll?»???¢ge;BENU;Rue de l'Ancien Coll?»???¢ge 1. 1462 Yvonand;46.800739299999900;6.741652700000000
40;BENU Pharmacie Etoile;BENU;Route de Berne 1. 1010 Lausanne;46.533780899999900;6.647172700000000
41;BENU Pharmacie Etraz;BENU;Rue Etraz 12. 1003 Lausanne;46.519160200000000;6.638830900000000
